Process,Damage_Pathway,Impact_Factor_Input,Impact_Factor,Impact_Factor_Unit,ID,ID Used Y/N,Scope,CA ID,Emission Source,Energy Content Value,Energy Content Unit,Emission Factor Value,Emission Factor source,EF,Activity data UOM,"Emission fcator 
UOM"
"waste treatment, mixed paper, at landfill",Freshwater ecotoxicity,1.0 kg,-5.908099181480583e-4,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, mixed paper, at landfill",Freshwater eutrophication,1.0 kg,-1.2830034341600001e-7,kg P eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, mixed paper, at landfill",Global warming,1.0 kg,2.1400589391773406,kg CO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, mixed paper, at landfill",Land use,1.0 kg,0.00140138047220597,m2a crop eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, mixed paper, at landfill",Marine ecotoxicity,1.0 kg,-7.990065935787072e-4,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, mixed paper, at landfill",Marine eutrophication,1.0 kg,-5.213117881752083e-7,kg N eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, mixed paper, at landfill",Photochemical Ozone Formation,1.0 kg,0.012403535631672102,kg NOx eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, mixed paper, at landfill",Terrestrial acidification,1.0 kg,7.476226849033768e-4,kg SO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, mixed paper, at landfill",Terrestrial ecotoxicity,1.0 kg,0.014153713460061128,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, mixed paper, at landfill",Water consumption,1.0 kg,-0.0659612152309124,m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, office paper, at landfill",Freshwater ecotoxicity,1.0 kg,-0.0011265331850623592,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, office paper, at landfill",Freshwater eutrophication,1.0 kg,-4.28514336108e-7,kg P eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, office paper, at landfill",Global warming,1.0 kg,3.8347257378510227,kg CO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, office paper, at landfill",Land use,1.0 kg,0.0013688195628415,m2a crop eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, office paper, at landfill",Marine ecotoxicity,1.0 kg,-0.00153773261802724,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, office paper, at landfill",Marine eutrophication,1.0 kg,-9.7419496414302e-7,kg N eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, office paper, at landfill",Photochemical Ozone Formation,1.0 kg,0.022241685521039653,kg NOx eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, office paper, at landfill",Terrestrial acidification,1.0 kg,0.0013228883961970196,kg SO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, office paper, at landfill",Terrestrial ecotoxicity,1.0 kg,0.018110853968774644,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, office paper, at landfill",Water consumption,1.0 kg,-0.12041746436623654,m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, rubber and leather, at landfill",Freshwater ecotoxicity,1.0 kg,-5.873757010374448e-4,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, rubber and leather, at landfill",Freshwater eutrophication,1.0 kg,-1.26375891605e-7,kg P eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, rubber and leather, at landfill",Global warming,1.0 kg,2.129195481449403,kg CO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, rubber and leather, at landfill",Land use,1.0 kg,0.00140158903877923,m2a crop eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, rubber and leather, at landfill",Marine ecotoxicity,1.0 kg,-7.942710293423736e-4,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, rubber and leather, at landfill",Marine eutrophication,1.0 kg,-5.18408636603161e-7,kg N eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, rubber and leather, at landfill",Photochemical Ozone Formation,1.0 kg,0.012340470588990144,kg NOx eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, rubber and leather, at landfill",Terrestrial acidification,1.0 kg,7.43935078841912e-4,kg SO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, rubber and leather, at landfill",Terrestrial ecotoxicity,1.0 kg,0.014128351510631456,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, rubber and leather, at landfill",Water consumption,1.0 kg,-0.06561214137551469,m3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, textiles, at landfill",Freshwater ecotoxicity,1.0 kg,-3.29816269353807e-4,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, textiles, at landfill",Freshwater eutrophication,1.0 kg,1.7957744367000006e-8,kg P eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, textiles, at landfill",Global warming,1.0 kg,1.3144517676538747,kg CO2 eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, textiles, at landfill",Land use,1.0 kg,0.0014172432952922899,m2a crop eq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waste treatment, textiles, at landfill",Marine ecotoxicity,1.0 kg,-4.3911404937192863e-4,"kg 1,4-DCB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
